CASE_NUMBER,CASE_SUBMITTED,DECISION_DATE,VISA_CLASS,EMPLOYMENT_START_DATE,EMPLOYMENT_END_DATE,EMPLOYER_NAME,EMPLOYER_BUSINESS_DBA,EMPLOYER_ADDRESS,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,AGENT_REPRESENTING_EMPLOYER,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMP,CHANGE_EMPLOYER,AMENDED_PETITION,FULL_TIME_POSITION,PREVAILING_WAGE,PW_WAGE_LEVEL,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,H1B_DEPENDENT,WILLFUL_VIOLATOR,SUPPORT_H1B,LABOR_CON_AGREE,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,ORIGINAL_CERT_DATE,CASE_STATUS
I-200-18027-895433,03/07/2018,03/13/2018,H-1B,08/01/2018,08/01/2021,UBS SECURITIES LLC,N/A,315 DEADERICK STREET,NASHVILLE,TN,UNITED STATES OF AMERICA,N/A,6153326481,,Y,"ELLSWORTH, CHAD",NEW YORK,NY,INVESTMENT BANKING ANALYST,13-2051,FINANCIAL ANALYSTS,523110,1,1,0,0,0,0,0,Y,67900,N/A,Other,2017,WILLIS TOWERS WATSON ACCOUNTING AND FINANCE COMPENSATION SURVEY,68000,105000,N,N,NA,Y,NEW YORK,NEW YORK,NY,,CERTIFIED
I-200-18066-226732,03/07/2018,03/13/2018,H-1B,09/04/2018,09/03/2021,"BURKE & ASSOCIATES CPAS, INC.",,"175 DERBY STREET, SUITE 42",HINGHAM,MA,UNITED STATES OF AMERICA,,7814540749,,Y,"GALLINI, JOHN",WALTHAM,MA,PROFESSIONAL STAFF ACCOUNTANT,13-2011,ACCOUNTANTS AND AUDITORS,541211,1,1,0,0,0,0,0,Y,56600,N/A,Other,2017,THE SURVEY GROUP: 2017 BENCHMARK COMPENSATION SURVEY,56600,0,N,N,NA,,HINGHAM,PLYMOUTH,MA,,CERTIFIED
I-200-18067-429856,03/08/2018,03/14/2018,H-1B,08/01/2018,12/31/2020,VENNISON TECHNOLOGIES INC,,825 WATTERS CREEK BLVD,ALLEN,TX,UNITED STATES OF AMERICA,,9729964612,,N,",",,,SOFTWARE DEVELOPER,15-1034,"SOFTWARE DEVELOPERS, APPLICATIONS, NON R&D",541511,1,1,0,0,0,0,0,Y,32.53,Level II,Other,2017,OFLC ONLINE DATA CENTER,32.53,0,Y,N,Y,Y,ALLEN,COLLIN,TX,,CERTIFIED
I-200-18067-816296,03/08/2018,03/14/2018,H-1B,08/01/2018,12/31/2020,VENNISON TECHNOLOGIES INC,,825 WATTERS CREEK BLVD,ALLEN,TX,UNITED STATES OF AMERICA,,9729964612,,N,",",,,SOFTWARE DEVELOPER,15-1034,"SOFTWARE DEVELOPERS, APPLICATIONS, NON R&D",541511,1,1,0,0,0,0,0,Y,32.53,Level II,Other,2017,OFLC ONLINE DATA CENTER,32.53,0,Y,N,Y,Y,ALLEN,COLLIN,TX,,CERTIFIED
I-200-18068-542586,03/09/2018,03/15/2018,H-1B,09/08/2018,09/08/2021,"BLOOMREACH, INC.",BLOOMREACH,82 PIONEER WAY,MOUNTAIN VIEW,CA,UNITED STATES OF AMERICA,N/A,8882633917,N/A,Y,"CHEHRAZI, ATESSA",SAN FRANCISCO,CA,SOLUTIONS AND SUPPORT ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541512,1,1,0,0,0,0,0,Y,84916,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,84916,84916,N,N,NA,,MOUNTAIN VIEW,SANTA CLARA,CA,,CERTIFIED
I-200-18062-506034,03/09/2018,03/15/2018,H-1B,09/02/2018,09/01/2021,"INTERTEK TESTING SERVICES NA, INC.",,3933 US ROUTE 11,CORTLAND,NY,UNITED STATES OF AMERICA,,6077536711,,Y,"DANG, HELENE",HOUSTON,TX,ENGINEER,17-2071,ELECTRICAL ENGINEERS,541380,1,1,0,0,0,0,0,Y,60130,N/A,Other,2016,U.S. DOL BUREAU OF LABOR STATISTICS-OCCUPATIONAL EMPLOYMENT STATISTICS,60130,72000,N,N,NA,,CORTLAND,CORTLAND,NY,,CERTIFIED
I-200-18054-078472,02/26/2018,03/02/2018,H-1B,04/09/2018,04/08/2021,GOOGLE LLC,N/A,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,CA,UNITED STATES OF AMERICA,N/A,6502534513,,Y,"WANG, CORONA",DALLAS,TX,SOFTWARE ENGINEER 1615.36657,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541512,1,0,0,0,0,0,1,Y,106983,N/A,Other,2017,RADFORD GLOBAL TECHNOLOGY SURVEY,140000,0,N,N,NA,,PALO ALTO,SANTA CLARA,CA,,CERTIFIED
I-200-18060-147076,03/05/2018,03/09/2018,H-1B,08/31/2018,08/30/2021,GOOGLE LLC,,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,CA,UNITED STATES OF AMERICA,,6502534513,,Y,"KLAUDT, KYLE",DALLAS,TX,SOFTWARE ENGINEER (1615.29111),15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541512,1,1,0,0,0,0,0,Y,106983,N/A,Other,2017,RADFORD GLOBAL TECHNOLOGY SURVEY,120000,0,N,N,NA,,MOUNTAIN VIEW,SANTA CLARA,CA,,CERTIFIED
I-200-18063-142513,03/05/2018,07/13/2018,H-1B,09/03/2018,09/02/2021,GOOGLE LLC,,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,CA,UNITED STATES OF AMERICA,,6502534513,,Y,"LAI, CECILIA",DALLAS,TX,SOFTWARE ENGINEER (1615.31540),15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541512,1,1,0,0,0,0,0,Y,92808,N/A,Other,2017,RADFORD GLOBAL TECHNOLOGY SURVEY,116000,0,N,N,NA,,NEW YORK,NEW YORK,NY,03/08/2018,CERTIFIED-WITHDRAWN
I-200-18060-653088,03/01/2018,03/05/2018,H-1B,08/31/2018,11/01/2019,CENTIVU TECHNOLOGIES LLC,CENTIVU,"8 THE GREEN STE A,",DOVER,DE,UNITED STATES OF AMERICA,,5036889246,,N,",",,,AEROSPACE ENGINEER,17-2011,AEROSPACE ENGINEERS,541512,5,5,0,0,0,0,0,Y,84552,Level I,Other,2018,OFLC ONLINE DATA CENTER,85000,0,N,N,NA,Y,DOVER,KENT,DE,,WITHDRAWN
I-200-18044-652451,02/27/2018,03/05/2018,H-1B,07/30/2018,07/29/2021,STANFORD UNIVERSITY/SLAC NATIONAL ACCELERATOR LABORATORY,SLAC NATIONAL ACCELERATOR LABORATORY,2575 SAND HILL ROAD,MENLO PARK,CA,UNITED STATES OF AMERICA,,6509264123,,Y,"SANDS, SERAFINA",APTOS,CA,RESEARCH ASSOCIATE - EXPERIMENTAL,19-2099,"PHYSICAL SCIENTISTS, ALL OTHER",611310,1,1,0,0,0,0,0,Y,45469,Level I,OES,2017,OFLC ONLINE DATA CENTER ACWIA,67920,88104,N,N,NA,,MENLO PARK,SAN MATEO,CA,,CERTIFIED
I-200-18067-984758,03/08/2018,03/14/2018,H-1B,03/16/2018,03/15/2021,"ORACLE AMERICA, INC",N/A,500 ORACLE PARKWAY,REDWOODSHORES,CA,UNITED STATES OF AMERICA,,6505067000,,Y,"EMRALINO, JESTHERLYNN",SANTA CLARA,CA,IT SECURITY ANALYST,15-1122,INFORMATION SECURITY ANALYSTS,512210,10,2,2,2,0,2,2,Y,117483,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,117483,163624,N,N,NA,,BROOMFIELD,JEFFERSON,CO,,CERTIFIED
I-200-18067-726803,03/08/2018,03/14/2018,H-1B,09/07/2018,09/06/2021,"YODLEE, INC",,3600 BRIDGE PARKWAY,REDWOOD CITY,CA,UNITED STATES OF AMERICA,,6509803600,,Y,"SATALA, MARCO",SANTA CLARA,CA,SENIOR TECHNICAL CONSULTANT,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",518112,25,5,5,5,0,5,5,Y,107688,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,107688,0,N,N,NA,,REDWOOD CITY,SAN MATEO,CA,,CERTIFIED
I-200-18068-955514,03/09/2018,03/15/2018,H-1B,09/05/2018,09/05/2021,POPULUS GROUP LLC,,3001 WEST BIG BEAVER ROAD,TROY,MI,UNITED STATES OF AMERICA,,2487127983,,Y,"WISNIEWSKI, JOEL",TROY,MI,TEST AUTOMATION DEVELOPER,15-1199,"COMPUTER OCCUPATIONS, ALL OTHER",561320,1,1,0,0,0,0,0,Y,28.16,Level I,OES,2017,OFLC ONLINE DATA CENTER,30,0,N,N,NA,Y,COLUMBUS,FRANKLIN,OH,,CERTIFIED
I-200-18067-276116,03/08/2018,03/14/2018,H-1B,03/08/2018,03/19/2020,AVANI TECHNOLOGY SOLUTIONS INC.,N/A,687 LEE ROAD,ROCHESTER,NY,UNITED STATES OF AMERICA,,5855841313,,Y,"FAKHOURY, RAMI",POUGHKEEPSIE,NY,COMPUTER SYSTEMS ANALYST,15-1121,COMPUTER SYSTEMS ANALYSTS,541511,1,0,0,0,0,0,1,Y,71074,Level II,Other,2018,OFLC ONLINE DATA CENTER,84000,0,Y,N,Y,Y,NORFOLK,NORFOLK,VA,,CERTIFIED
I-200-18066-417618,03/08/2018,03/14/2018,H-1B,09/05/2018,09/05/2021,"RIGHTS AND RESOURCES INSTITUTE, INC.",RIGHTS AND RESOURCES GROUP,2715 M STREET N.W.,WASHINGTON,DC,UNITED STATES OF AMERICA,N/A,2024703900,,Y,"AHMED, FARHAT",NORTH POTOMAC,MD,SENIOR STAFF ACCOUNTANT,13-2011,ACCOUNTANTS AND AUDITORS,813312,1,1,0,0,0,0,0,Y,70900,N/A,Other,2017,HRA-NCA COMPENSATION SURVEY,71000,0,N,N,NA,,WASHINGTON,DISTRICT OF COLUMBIA,DC,,CERTIFIED
I-200-18065-525419,03/08/2018,03/12/2018,H-1B,09/01/2018,09/01/2021,CRANE CO.,,3222 PHOENIXVILLE PIKE,MALVERN,PA,UNITED STATES OF AMERICA,,6104302607,,Y,"SERWER, DAVID",CHICAGO,IL,PROCUREMENT DIRECTOR,11-3061,PURCHASING MANAGERS,332912,1,1,0,0,0,0,0,Y,142501,Level IV,OES,2017,OFLC ONLINE,156000,0,N,N,NA,,MALVERN,CHESTER,PA,,DENIED
I-200-18065-252256,03/08/2018,03/14/2018,H-1B,09/05/2018,09/04/2021,GOOGLE LLC,N/A,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,CA,UNITED STATES OF AMERICA,N/A,6502534513,,Y,"WANG, CORONA",DALLAS,TX,SOFTWARE ENGINEER 1615.37428,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541512,1,1,0,0,0,0,0,Y,125000,N/A,Other,2017,RADFORD GLOBAL TECHNOLOGY SURVEY,132000,0,N,N,NA,,MOUNTAIN VIEW,SANTA CLARA,CA,,CERTIFIED
I-200-18059-526634,03/01/2018,03/07/2018,H-1B,08/30/2018,08/29/2021,"BLACKBURN ARCHITECTS, PC",N/A,1820 N STREET NW,WASHINGTON,DC,UNITED STATES OF AMERICA,N/A,2023371755,,Y,"SABAGH, DENYSE",WASHINGTON,DC,ARCHITECT INTERN,17-1011,"ARCHITECTS, EXCEPT LANDSCAPE AND NAVAL",541310,1,1,0,0,0,0,0,Y,49950,N/A,Other,2017,AIA COMPENSATION REPORT,50000,0,N,N,NA,Y,WASHINGTON,DISTRICT OF COLUMBIA,DC,,CERTIFIED
I-200-18067-684646,03/08/2018,03/14/2018,H-1B,08/01/2018,07/31/2021,"BSA ARCHITECTS, INC.",,300 MONTGOMERY STREET,SAN FRANCISCO,CA,UNITED STATES OF AMERICA,,4152814720,,Y,"DULBERG, SHARON",SAN FRANCISCO,CA,JR. JOB CAPTAIN,17-1011,"ARCHITECTS, EXCEPT LANDSCAPE AND NAVAL",541310,1,0,0,1,0,0,0,Y,57230,N/A,Other,2017,AMERICAN INSTITUTE OF ARCHITECTS COMPENSATION REPORT,72000,0,N,N,NA,,SAN FRANCISCO,SAN FRANCISCO,CA,,CERTIFIED
I-200-18067-906878,03/09/2018,03/15/2018,H-1B,09/02/2018,09/01/2021,"FACEBOOK, INC.",N/A,1 HACKER WAY*,MENLO PARK,CA,UNITED STATES OF AMERICA,,4085335781,,Y,"KOBLER, MICHELLE",SAN FRANCISCO,CA,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",518112,1,0,1,0,0,0,0,Y,164413,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,176704.66,0,Y,N,Y,,MENLO PARK,SAN MATEO,CA,,CERTIFIED
I-200-18062-825220,03/07/2018,03/13/2018,H-1B,08/30/2018,08/29/2021,VERITAS TECHNOLOGIES LLC,,500 E. MIDDLEFIELD ROAD,MOUNTAIN VIEW,CA,UNITED STATES OF AMERICA,,4073577295,,Y,"OYE, RONALD",SAN FRANCISCO,CA,DEVELOPMENT ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",541511,1,1,0,0,0,0,0,Y,108900,N/A,Other,2017,WILLIS TOWERS WATSON 2017 PROFESSIONAL (TECH&OPS) COMPENSATION SURVEY,150000,0,N,N,NA,,MOUNTAIN VIEW,SANTA CLARA,CA,,CERTIFIED
I-200-18053-890484,02/26/2018,03/02/2018,H-1B,08/22/2018,08/21/2021,EVEREST GLOBAL SOLUTIONS INC.,,8200 NW 41ST STREET,MIAMI,FL,UNITED STATES OF AMERICA,,3053595259,,Y,"ANDREWS, KEVIN",OWINGS MILLS,MD,COMPUTER SYSTEM ANALYST,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",5416,1,1,0,0,0,0,0,Y,39.5,Level III,OES,2017,OFLC ONLINE DATA CENTER,40,0,N,N,NA,,MADISON,DANE,WI,,CERTIFIED
I-200-18066-631332,03/07/2018,03/13/2018,H-1B,08/23/2018,08/23/2021,"HOMEAWAY.COM, INC.",N/A,1011 W. FIFTH STREET,AUSTIN,TX,UNITED STATES OF AMERICA,N/A,4256797972,,Y,"GONZALES, MARGRET ANN",SAN FRANCISCO,CA,SOFTWARE ENGINEER,15-1132,"SOFTWARE DEVELOPERS, APPLICATIONS",5191,50,50,0,0,0,0,0,Y,73200,N/A,Other,2017,WILLIS TOWERS WATSON: PROFESSIONAL (TECHNICAL AND OPERATIONS) COMPENSATION SUR,76999.92,100000.08,N,N,NA,,AUSTIN,TRAVIS,TX,,CERTIFIED
I-200-18066-268117,03/07/2018,03/13/2018,H-1B,03/21/2018,03/20/2021,"HSA & ASSOCIATES, INC.",,16700 VALLEY VIEW AVENUE,LA MIRADA,CA,UNITED STATES OF AMERICA,,7145220030,,Y,"FRYSINGER, RICHARD",SILVER SPRING,MD,STRUCTURAL DESIGN ENGINEER II,17-2051,CIVIL ENGINEERS,541330,1,0,0,0,0,1,0,Y,67900,N/A,Other,2017,US MBD MERCER BENCHMARK DATABASE WEST COAST REGION SURVEY,74880,0,N,N,NA,,LA MIRADA,LOS ANGELES,CA,,CERTIFIED
I-200-18055-946955,03/01/2018,03/07/2018,H-1B,08/25/2018,08/24/2021,NOKIA OF AMERICA CORPORATION,,600 MOUNTAIN AVENUE,MURRAY HILL,NJ,UNITED STATES OF AMERICA,,9086796820,,Y,"ENU, HASEENA",ADDISON,TX,CONVERGED CORE L3 SUPPORT ENGINEER,15-1142,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,517919,1,1,0,0,0,0,0,Y,98074,N/A,Other,2017,US- MERCER BENCHMARK DATABASE - INFORMATION TECHNOLOGY,100000,0,N,N,NA,,IRVING,DALLAS,TX,,CERTIFIED
I-200-18031-514886,03/08/2018,03/14/2018,H-1B,08/02/2018,08/01/2021,DELOITTE CONSULTING LLP,N/A,1700 MARKET STREET,PHILADELPHIA,PA,UNITED STATES OF AMERICA,N/A,9736025495,,Y,"LUNA, PATRICIA",ATLANTA,GA,SENIOR CONSULTANT,15-1121,COMPUTER SYSTEMS ANALYSTS,54161,3,1,0,1,0,1,0,Y,74714,Level II,OES,2017,OFLC ONLINE DATA CENTER,74714,0,N,N,NA,,PHILADELPHIA,PHILADELPHIA,PA,,CERTIFIED
I-200-18067-074608,03/08/2018,03/14/2018,H-1B,09/07/2018,09/06/2021,"ANF GROUP, INC",,2700 DAVIE ROAD,DAVIE,FL,UNITED STATES OF AMERICA,,9546939900,,Y,"ARIAS, ILEANA",PEMBROKE PINES,FL,FIELD ENGINEER,17-2051,CIVIL ENGINEERS,23622,1,1,0,0,0,0,0,Y,25.83,Level I,Other,2017,OFLC ONLINE DATA CENTER,25.83,29.2,N,N,NA,Y,DAVIE,BROWARD,FL,,DENIED
I-200-18067-360387,03/08/2018,03/14/2018,H-1B,09/07/2018,09/07/2021,DORSEY METROLOGY INTERNATIONAL,,53 OAKLEY STREET,POUGHKEEPSIE,NY,UNITED STATES OF AMERICA,,8454543111,,Y,"FAKHOURY, RAMI",POUGHKEEPSIE,NY,MECHANICAL DRAFTERS,17-3013,MECHANICAL DRAFTERS,541330,1,1,0,0,0,0,0,Y,44034,Level I,OES,2018,OFLC ONLINE DATA CENTER,48000,0,Y,N,Y,Y,POUGHKEEPSIE,DUTCHESS,NY,,DENIED
I-200-18066-862755,03/07/2018,03/12/2018,H-1B,09/06/2018,09/05/2021,"STELLAR SERVICES, INC",,"70 WEST 36TH STREET, SUITE 702",NEW YORK,NY,UNITED STATES OF AMERICA,,2124322848,,N,",",,,PROGRAMMER,15-1131,COMPUTER PROGRAMMERS,541511,2,2,0,0,0,0,0,Y,55182,Level I,OES,2017,OFLC ONLINE DATA CENTER,60000,70000,Y,N,Y,Y,NEW YORK,NY,NY,,DENIED
I-200-18058-540750,03/02/2018,03/08/2018,H-1B,08/27/2018,08/26/2021,"DOLBY LABORATORIES, INC.",,1275 MARKET STREET,SAN FRANCISCO,CA,UNITED STATES OF AMERICA,,4155580200,,Y,"SATALA, MARCO",SANTA CLARA,CA,STAFF APPLICATIONS ENGINEER,41-9031,SALES ENGINEERS,512220,25,5,5,5,0,5,5,Y,131215,N/A,Other,2018,RADFORD GLOBAL TECHNOLOGY SURVEY,131215,0,N,N,NA,,SAN FRANCISCO,SAN FRANCISCO,CA,,CERTIFIED
I-200-18066-966296,03/07/2018,03/13/2018,H-1B,09/01/2018,08/31/2021,"QUALCOMM TECHNOLOGIES, INC.",,5775 MOREHOUSE DRIVE,SAN DIEGO,CA,UNITED STATES OF AMERICA,,8588453309,,Y,"FAURE WENGER, KARINE",SAN DIEGO,CA,SYSTEMS ENGINEER,17-2072,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER",334220,50,0,0,30,0,10,10,Y,100337,N/A,Other,2017,RADFORD GLOBAL TECHNOLOGY SURVEY - 5062,100337,115200,Y,N,Y,,SAN JOSE,SANTA CLARA,CA,,CERTIFIED
I-200-18044-697297,02/28/2018,03/06/2018,H-1B,07/06/2018,07/05/2021,"PEPSICO, INC.",N/A,700 ANDERSON HILL ROAD,PURCHASE,NY,UNITED STATES OF AMERICA,N/A,9142533388,,Y,"SABATELLO / CUOMO, LINDA / MARTINE",NEW YORK,NY,"VICE PRESIDENT, GLOBAL BEVERAGE STRATEGY",11-2021,MARKETING MANAGERS,312111,1,0,1,0,0,0,0,Y,227406,Level IV,OES,2017,OFLC ONLINE DATA CENTER,325000,0,N,N,NA,,PURCHASE,WESTCHESTER,NY,,CERTIFIED
I-200-18067-370457,03/08/2018,03/14/2018,H-1B,07/01/2018,06/30/2019,THOMAS JEFFERSON UNIVERSITY HOSPITAL,,111 S. 11TH STREET,PHILADELPHIA,PA,UNITED STATES OF AMERICA,,2159556000,,N,",",,,FELLOW IN NEURORADIOLOGY,29-1069,"PHYSICIANS AND SURGEONS, ALL OTHER",622110,1,1,0,0,0,0,0,Y,68484,N/A,Other,2016,AAMC SURVEY OF RESIDENT/FELLOW STIPENDS & BENEFITS,70196,0,N,N,,,PHILADELPIA,PHILADELPHIA,PA,,CERTIFIED
